question,image,choice1,choice2,choice3,choice4,bloque
Cando dicimos que un corpo está cargado?,,"Cando ten máis electróns que protóns, ou ao revés",Cando ten todas as cargas,Cando ten máis cargas de signo positivo que de signo negativo,Cando ten máis cargas de signo negativo que de signo positivo,electricidade
Cal é a unidade de carga eléctrica?,,O Coulomb,O Vatio,O Joule,O Amperio,electricidade
A canto equivale a unidade de carga?,,"6,2 x 10e18 electróns","6,2 x 10e12 electróns","6,2 x 10e6 electróns","6,2 x 10e3 electróns",electricidade
Que partículas do átomo están cargadas?,,"os electróns, negativamente, e os protóns, positivamente","os electróns, negativamente, e os neutróns, positivamente","os protóns, positivamente, e os neutróns, negativamente","os electróns, positivamente, e os protóns, negativamente",electricidade
Que é unha corrente eléctrica?,,Un fluxo de electróns a través dun medio,Un fluxo de protóns a través dun medio,Un conxunto de electróns en movemento,Un desprazamento de calquera tipo de partículas eléctricas,electricidade
Que NON é unha corrente eléctrica?,,Un conxunto de electróns almacenados nun punto determinado,Electróns movéndose a través dun condutor,Electróns que van dun polo a outro dun circuíto.,Un fluxo eléctrico a través dun medio,electricidade
Cal é un material condutor,,O aluminio,A auga destilada,O aire,O plástico,electricidade
Cal é un material illante?,,A auga destilada,O cobre,O grafito,A auga salgada,electricidade
Cal destes é un material illante?,,O vidro,A auga con sal,O aluminio,O grafito,electricidade
Cal destes é un material illante?,,O plástico,A auga con sal,O aluminio,O grafito,electricidade
Un material illante presentará,,Unha resistencia moi alta,Unha resistencia moi baixa,Unha conductividade moi baixa,Unha corrente moi alta,electricidade
Un material condutor presentará,,Unha resistencia moi baixa,Unha resistencia moi alta,Unha conductividade moi baixa,Unha corrente moi alta,electricidade
Un material condutor presentará..,,Unha resistencia moi baixa,Unha resistencia moi alta,Unha oposición alta ao paso da corrente,Unha mala condutividade,electricidade
Que fenómeno dicimos que é outra expresión da electricidade?,,O magnetismo,A calor,A luz,O movemento,electricidade
Cal dos seguintes dispositivos eléctricos NON produce ningún movemento?,,Un LED,Un motor,Un altofalante,Un actuador liñal,electricidade
Un motor eléctrico polo que pasa unha corrente produce... ,,Movemento e calor.,Movemento.,Calor.,Electromagnetismo.,electricidade
Os efectos da corrente eléctrica que nomeamos son:,,"Luz, calor, movemento e son.","Electromagnetismo, luz, calor e movemento.","Electroluminiscencia, calor, movemento e son.","Enerxía, movemento, calor e son",electricidade
"Sempre que hai unha corrente eléctrica, prodúcese...",,Calor,Resistencia eléctrica,Voltaxe,Carga eléctrica,electricidade
Con que tipo de corrente se corresponde este gráfico?,images/electricity_graficoCA.png,Corrente Alterna,Corrente Continua,Corrente Eléctrica,Calquera outras respostas,electricidade
Con que tipo de corrente se corresponde este gráfico?,images/electricity_graficoCC.png,Corrente Continua,Corrente Alterna,Corrente Eléctrica,Calquera outras respostas,electricidade
Cal non se corresponde coa corrente continua?,,adoitamos manexar grandes voltaxes con ela,Sempre ten o mesmo sentido,é a que proporcionan as baterías e pilas,podemos obtela de adaptadores de rede,electricidade
Cal NON se corresponde coa corrente alterna?,,É a que nos dan as pilas e baterías,Cambia continuamente de sentido,"É a que vén da rede, é dicir, dos enchufes",Adoitamos manexar voltaxes maiores que coa corrente continua,electricidade
Que aparato funciona con Corrente Alterna?,,Lavadora,Ordenador,Reloxio dixital,Teléfono móbil,electricidade
Cal destes aparellos funciona con corrente continua?,,Un teléfono móbil,Un secador do pelo,Unha impresora,Unha lavadora,electricidade
Cal NON se corresponde coa corrente alterna?,,Adoitamos manexar voltaxes menores que coa corrente continua,Cambia continuamente de sentido,"Podémola obter da rede, é dicir, nos enchufes",Podemos obtela a partir de corrente continua grazas a un adaptador,electricidade
Cal NON se corresponde coa corrente continua?,,Adoitamos manexar grandes voltaxes con ela,Sempre ten o mesmo sentido,É a que nos dan as pilas e baterías,Podémola obter da rede grazas aos adaptadores de corrente,electricidade
Que nos indica a Voltaxe nun punto?,,A enerxía que nos pode proporcionar cada unidade de carga nese punto,A oposición que haberá nese punto fronte ao corrente que o atravesa,Que cantidade de electróns estarán a pasar por el cada unidade de tempo.,A enerxía que haberá nese punto por unidade de tempo,electricidade
Que nos indica a voltaxe dunha pila?,,A enerxía que nos poderá proporcionar cada unidade de carga desa pila,A cantidade de electróns por segundo que poderán saír desa pila,A potencia eléctrica que desenvolverá esa pila nun circuíto eléctrico,"A cantidade de electróns que hai almacenados nesa pila, é dicir, a súa carga.",electricidade
Cal frase estaría ben expresada?,,"Por favor, mide a intensidade que pasa por ese cable","Por favor, mide a voltaxe que pasa por ese cable","Por favor, mide a resistencia que pasa por ese cable","Por favor, mide a potencia que pasa por ese cable",electricidade
Que é a Intensidade dunha corrente?,,A cantidade de electróns que pasan por un punto nun tempo determinado,A enerxía desa corrente,A oposición que presenta un material a ser atravesado polos electróns,A enerxía producida polos electróns ao atravesar un compoñente determinado,electricidade
Cal é a unidade elemental de Intensidade?,,O Amperio (A),O Ohmnio (Ω),O Voltio (V),O Vatio (W),electricidade
Cal é a unidade elemental de Resistencia?,,O Ohmnio (Ω),O Voltio (V),O Amperio (A),O Vatio (W),electricidade
Cal é a unidade elemental de Voltaxe?,,O Voltio (V),O Ohmnio (Ω),O Amperio (A),O Vatio (W),electricidade
Cal é a unidade elemental de Potencia?,,O Vatio (W),O Voltio (V),O Amperio (A),O Ohmnio (Ω),electricidade
"Si por un circuíto pasan 5 000 000 electrones en 1 segundo, que intensidad estará pasando?",,Mucho menos de un amperio,Muchísimos amperios,Pocos amperios,Un amperio,electricidade
"Si por un circuíto pasa un amperio, cantos electróns estarán a circular por el?",,Trillóns cada segundo,Miles,Millóns,Trillóns,electricidade
Que é a Resistencia eléctrica?,,A oposición que presenta un corpo a ser atravesado polos electróns,A cantidade de ohmnios que unha corrente perde ao pasar por un corpo,A cantidade de calor que xera un compoñente ao ser atravesado pola corrente eléctrica,"A enerxía eléctrica que perde un compoñente nun circuíto, ao ser atravesado por unha corrente",electricidade
Cal destas é unha expresión CORRECTA da Lei de Ohm?,,R=V/I,R=I/V,R=V·I,R.V=I,electricidade
Cal das seguintes sería unha expresión incorrecta da lei de Ohm?,,R=I.V,I=V/R,I.R=V,R=V/I,electricidade
Tes un circuíto conectado a unha voltaxe de  20 V polo que ves que pasa unha corrente de 10 A. Cal é a resistencia que ten ese circuíto?,,2Ω,200Ω,"0,5Ω",1Ω,electricidade
Conecto unha resistencia de 100 Ω nun circuíto cunha pila de 9 V. Que intensidade circula?,,"0,09 A",900 A,"0,9 A","11,11 A",electricidade
Tes un circuíto dunha resistencia de 4 ohmnios conectado a unha pila de 8V. Que intensidade circulará?,,2 A,32 A,"0,5 A",12 A,electricidade
Comprobo que a intensidade que circula por un circuíto é de 2 A e vexo que está alimentado a 6V. Que resistencia hai no circuíto?,,3Ω,12Ω,"0,33Ω",2/6Ω,electricidade
Tes un circuíto de resistencia de 3 ohmnios polo que pasa unha intensidade de 9A. A que voltaxe estará conectado ese circuíto?,,27 V,"0,33 V",3 V,12 V,electricidade
"Nun circuíto cunha resistencia de 100 Ω comprobo que a intensidade é de 0,5 A. Cal é a voltaxe?",,50V,200V,5V,"0,005V",electricidade
"Tes un circuíto cunha voltaxe determinada conectada a unha resistencia. Substitúes esa resistencia por unha de maior valor, que vai pasar no circuíto?",,"A cantidade de electróns que van pasar pola resistencia cada unidade de tempo, será menor","A cantidade de electróns que van pasar pola resistencia cada unidade de tempo, aumentará",A cantidade de electróns que van pasar pola resistencia cada unidade de tempo non se verá afectada,A intensidade que pasa pola resistencia será maior,electricidade
"Tes un circuíto cunha voltaxe determinada conectada a unha resistencia. Substitúes esa resistencia por unha de menor valor, que vai pasar?",,"A cantidade de electróns que van pasar pola resistencia cada unidade de tempo, aumentará","A cantidade de electróns que van pasar pola resistencia cada unidade de tempo, diminuirá",A cantidade de electróns que van pasar pola resistencia cada unidade de tempo non se verá afectada,A intensidade que pasa pola resistencia será máis pequena,electricidade
"Estás medindo a intensidade que pasa por unha resistencia que non varía.  Nun intre determinado, observas que o valor da intensidade reduce á metade. Que terá pasado?",,"A voltaxe do circuíto reduciuse, tamén, á metade",A voltaxe do circuíto duplicouse,Non se pode saber sen coñecer a voltaxe á que está conectado o circuíto,A cantidade de electróns que pasan polo circuíto está a aumentar por algún motivo,electricidade
"Estás a medir a intensidade que pasa por unha resistencia que non varía.  Nun intre determinado, observas que o valor da intensidade se duplica. Que terá pasado?",,A voltaxe do circuíto se duplicou tamén,A voltaxe do circuíto reduciuse a metade,Non se pode saber sen coñecer a voltaxe á que está conectado o circuíto,A cantidade de electróns que pasan polo circuíto está a reducirse por algún motivo,electricidade
Mides a intensidade que pasa por unha resistencia moi pequena e ves que o valor da intensidade tamén é pequeno. Que podes deducir?,,A resistencia está sometida a unha voltaxe moi pequena,A resistencia está sometida a unha voltaxe moi alta,Non podemos deducir a que voltaxe está sometida a resistencia,A resistencia está sometida a unha voltaxe variable.,electricidade
"Conectas unha voltaxe pequena a unha resistencia, pero mides a intensidade que circula por ela e ves que é moi alta. Que podes deducir?",,A resistencia é moi pequena,A resistencia é moi alta,Non podo saber como é a resistencia,A intensidade non depende da resistencia ,electricidade
Conectas unha resistencia moi grande a unha pila e ves que se xenera unha intensidade moi alta. Que podes deducir?,,A pila ten que ter moita voltaxe,A pila ten que ter pouca voltaxe,A intensidade é independente da resistencia,A pila non funciona,electricidade
"Tocas un cable solto cunhas luvas de goma illante, aínda así, notas un calambrazo. Cal é falsa?",,As luvas de goma non deixan pasar ningunha corrente eléctrica,O cable tiña unha voltaxe moi elevada,"Ao tocar, xenerouse unha intensidade que pasou polo meu corpo",Non hai materiais completamente illantes,electricidade
Que potencia eléctrica xerará un compoñente que funcione a 3 V e 2 A?,,6W,5W,"1,5W","0,67W",electricidade
"Que calor nos dará un circuíto durante 10 segundos, se a voltaxe é de 9 V e a intensidade de 2A?",,180 J,"1,8 J",45 J,"4,5 J",electricidade
Un circuíto que consume unha potencia de 10 W funciona durante 5 segundos. Que enerxía consumiu nese tempo?,,50 J,2 J,10 J,"0,5 J",electricidade
Cal é a carga dun átomo no seu estado natural?,, neutra,positiva,negativa,depende do átomo,electricidade
Cal delas NON corresponde a un circuíto eléctrico?,,Se produce sempre que hai unha corrente eléctrica.,Sempre ten que haber un elemento que forneza enerxía eléctrica.,Sempre produce calor.,Sempre haberá algunha transformación de enerxía.,circuítos
Cales son os tipos de elementos que podo atopar nun circuíto eléctrico?,,"Xeradores, condutores, receptores e elementos de control","Xeradores, condutores, aparatos eléctricos e elementos de control","Xeradores, cables, interruptores e conmutadores","Pilas, cables, resistencias e interruptores",circuítos
"Se xuntamos dúas pilas de 1,5V deste xeito... cal será a voltaxe total?",images/duasPilasSerie.png,3V,"1,5V","0,75V","1,33V",circuítos
Se xuntamos dúas resistencias de 4Ω deste xeito... cal será a súa resistencia equivalente?,images/2ResisParalelo.png,2Ω,4Ω,8Ω,3Ω,circuítos
Como se chaman os elementos dun circuíto que fornecen os electróns?,,Xeradores,Receptores,Condutores,Elementos de control,circuítos
Como se chaman os elementos dun circuíto que transforman a electricidade noutro tipo de enerxía?,,Receptores,Xeradores,Transformadores,Elementos de control,circuítos
Como se chaman os elementos dun circuíto que permiten o paso da corrente entre un compoñente e outro?,,Condutores,Xeradores,Elementos de control,Receptores,circuítos
Como se chaman os elementos dun circuíto que nos permiten facer que a corrente circule por onde nós queremos?,,Elementos de control,Xeradores,Condutores,Receptores,circuítos
Cal non é un xerador?,,Motor,Pila,Batería,Toma de rede,circuítos
"Cal consideramos un compoñente de tipo ""condutor""?",,Cable,Interruptor,Pulsador,Aluminio,circuítos
Cal non sería un receptor?,,Pila,Motor,Lámpada,Resistencia,circuítos
Cal non é un elemento de control?,,Cable,Interruptor,Pulsador,Conmutador,circuítos
A que compoñente se corresponde o símbolo da figura?,images/pilaSimbolo.png,Batería ou pila,Xerador de corrente alterna,Motor,Toma de terra,circuítos
A que compoñente se corresponde o símbolo da figura?,images/xeradorAC.png,Xerador de corrente alterna,Batería ou pila,Lámpada,Motor eléctrico,circuítos
A que compoñente se corresponde o símbolo da figura?,images/pulsadorSimbolo.png,pulsador,interruptor,conmutador,pila,circuítos
A que compoñente se corresponde o símbolo da figura?,images/interruptorSimbolo.png,interruptor,conmutador,pulsador,botón,circuítos
A que compoñente se corresponde o símbolo da figura?,images/conmutadorSimbolo.png,conmutador,interruptor,pulsador,fusible,circuítos
A que compoñente se corresponde o símbolo da figura?,images/resistenciaSimbolo.png,resistencia,pila,lámpada,interruptor,circuítos
A que compoñente se corresponde o símbolo da figura?,images/resistenciaSimbolo2.png,resistencia,lámpada,pila,interruptor,circuítos
A que compoñente se corresponde o símbolo da figura?,images/ledSimbolo.png,LED,lámpada,Altofalante,Motor,circuítos
A que compoñente se corresponde o símbolo da figura?,images/lampadaSimbolo.png,Lámpada,LED,Motor,Patrulla X,circuítos
A que compoñente se corresponde o símbolo da figura?,images/zoadorSimbolo.png,zoador,altofalante,motor,Xerador Alterna,circuítos
A que compoñente se corresponde o símbolo da figura?,images/altofalanteSimbolo.png,altofalante,zoador,xerador alterna,Xerador de continua,circuítos
A que compoñente se corresponde o símbolo da figura?,images/motorSimbolo.png,motor,zoador,watiímetro,lámpada,circuítos
A que compoñente se corresponde o símbolo da figura?,images/terraSimbolo.png,terra,pila,antena,receptor,circuítos
Como están conectadas as resistencias da figura?,images/3ResisSerie.png,Serie,Liña,Paralelo,Mixto,circuítos
Como están conectadas as resistencias da figura?,images/3ResisParalelo.png,Paralelo,lateral,Serie,mixto,circuítos
Como están conectadas as resistencias da figura?,images/3ResisMixto.png,Mixto,Paralelo,Serie,composto,circuítos
Cal será a voltaxe total das tres pilas?,images/3PilasSerie.png,6V,2V,2/3V,8V,circuítos
Cal será a voltaxe total das tres pilas?,images/3PilasParalelo.png,2V,6V,2/3V,8V,circuítos
Cal será o valor da resistencia equivalente?,images/3ResisSerie223.png,7Ω,12Ω,6/8Ω,8/6Ω,circuítos
Cal será o valor da resistencia equivalente?,images/3ResisParalelo666.png,2Ω,18Ω,"0,5Ω",3/6Ω,circuítos
Cal será o valor da resistencia equivalente?,images/3ResisParalelo422.png,4/5Ω,5/4Ω,3/8Ω,8/3Ω,circuítos
Cal será o valor da resistencia equivalente?,images/2ResisParalelo36.png,2Ω,"0,5Ω",9Ω,3Ω,circuítos
Cal será o valor da resistencia equivalente?,images/3ResisMixto422.png,5Ω,8Ω,4Ω,6Ω,circuítos
Cal será o valor da resistencia equivalente?,images/3ResisMixto436.png,6Ω,13Ω,"4,5Ω",3Ω,circuítos
Cal será o valor da resistencia equivalente?,images/4ResisMixto4466.png,5Ω,20Ω,"1,2Ω",10Ω,circuítos
Que diferencias de funcionamento haberá entre o circuíto 1 e 2?,images/2circSimples.png,Ningunha,"No circuíto 2, o led acende aínda que non cerremos o interruptor","Os dous leds acenden ao premer o interruptor, pero o 2 un chisco antes","Os dous leds acenden ao premer o interruptor, pero o 1 un chisco antes",circuítos
"Cal é falsa, para o circuíto da figura?",images/2receptoresSerie.png,O led -a- acenderá un chisco antes que o -b-,A intensidade que circula polos dous leds é a mesma,Os dous leds acenderán ao premer o interruptor,"Se o led -b- se queima, o -a- deixará de funcionar",circuítos
"Cal é falsa, para o circuíto da figura?",images/2resisSerie.png,As dúas resistencias están sometidas á mesma voltaxe,"Se o interruptor pecha, pasará intensidade polas dúas resistencias",Polas dúas resistencias pasará sempre a mesma intensidade,Se desconecto a resistencia -b- non pasará corrente polo circuíto,circuítos
"Cal é falsa, para o circuíto da figura?",images/2resisParalelo.png,A intensidade que pasa polas dúas resistencias é a mesma,As dúas resistencias están sometidas á mesma voltaxe,"Se desconecto a resistencia -a-, seguirá a pasar corrente pola -b-",A intensidade total do circuíto será a suma da intensidade por -a- e a intensidade por -b-,circuítos
Que será certo para a intensidade que pasa pola resistencia -a-?,images/2resisParalelo.png,Pasará o doble de intensidade que pola resistencia -b-,Pasará a mesma intensidade que pola resitencia -b-,Pasará a metade de intensidade que pola resistencia -b-,Por ela pasará a metade da intensidade total do circuíto,circuítos
Por cal resistencia pasará máis intensidade?,images/3resisParalelo.png,Pola -a-,Pola -b-,Pola -c-,Por todas pasará a mesma,circuítos
Que pasará neste circuíto se conecto a resistencia -c- ?,images/3resisParaleloQue.png,A intensidade total aumentará respecto a cando había dúas,A voltaxe á que están sometidas ás resistencias disminuirá respecto a cando había dúas,A voltaxe á que están sometidas ás resistencias aumentará respecto a cando había dúas,A intensidade total disminuirá respecto a cando había dúas,circuítos
"Cal é falsa, para o circuíto da figura?",images/2IntSerie.png,"Se cerramos un ou outro interruptor, pasará corrente pola resistencia","Se cerramos un e outro interruptor, pasará corrente pola resistencia","Se cerramos os dous interruptores, pasará corrente pola resistencia",Só pasará corrente pola resistencia se cerramos todos os interruptores,circuítos
"Cal é falsa, para o circuíto da figura?",images/circuits_2swSeries02.png,Os dous leds están en serie,Os dous pulsadores están en serie,Os leds acenderán ao premer os dous pulsadores,Non podo acender D2 sen acender D1,circuítos
"Cal é falsa, para o circuíto da figura?",images/circuits_2swParallelLed.png,Non podo acender D2 sen acender D1,"Para acender D1, premo P1","Para acender D2, premo P2.",Os dous leds están en paralelo,circuítos
"Cal é falsa, para o circuíto da figura?",images/circuits_2swSeries.png,Os dous pulsadores están en paralelo.,"Para acender os leds, teño que premer os dous pulsadores.",Non podo acender D1 sen acender D2.,Os dous leds están en paralelo,circuítos
"Cal é certa, para o circuíto da figura?",images/circuits_2swBranches.png,Para acender D2 premo P2 e P1,Para acender D2 premo P1,Para acender D2 premo P2,Para acender D2 premo P1 ou P2,circuítos
"Cal é falsa, para o circuíto da figura?",images/circuits_2swBranches.png,Podo acender D2 sen acender D1,Podo acender D1 sen acender D2,Podo acender D2 e D1 á vez,Os leds están en paralelo.,circuítos
"Cal é certa, para o circuíto da figura?",images/circuits_2swSeries.png,Para acender os leds teño que premer os dous pulsadores.,Para acender os leds polo premer calquera dos pulsadores,Para acender os leds teño que premer P1,Para acender os leds teño que premer P2,circuítos
Para que poderías empregar o circuíto da figura?,images/2IntSerieMotor.png,Unha motoserra que actúa só cando premo dous interruptores,Un ventilador que se acende desde dous puntos distintos,Unha alarma que se acende desde calquera dos dous interruptores,Un taladro que pode ser accionado cun interruptor ou con outro,circuítos
"Cal é falsa, para o circuíto da figura?",images/2IntParalelo.png,A corrente pasará cando cerremos os dous interruptores,"Se cerramos un ou outro interruptor, pasará corrente pola resistencia","Para que pase a corrente, podemos cerrar calquera dos dous interruptores",A corrente pasa sempre que haxa polo menos un interruptor cerrado,circuítos
"Cal é falsa, para o circuíto da figura?",images/ledCurtocircuito.png,O led -a- acenderá,O led -a- está curtocircuitado,A intensidade non pasará polo led -a- porque ten un camiño alternativo sen resistencia,O led -b- acenderá,circuítos
Cal é certa para o circuíto da figura?,images/2IntSerieTricky.png,Só pasará corrente pola resistencia con 1 e 2 cerrados,Se cerro o interruptor 1 pasará corrente pola resistencia,Se cerro o interruptor 2 pasará corrente pola resistencia,"Se cerro calquera dos dous interruptores, pasará corrente",circuítos
Cando pasará corrente pola resistencia?,images/2IntMixtoTricky.png,Só se 2 está cerrado e 1 abert,Se cerramos 1 e 2,"Cerrando o 2, independentemente de como estea 1",Cerrando o 2 ou o 1,circuítos
Como están conectadas as resistencias na breadboard?,images/brboardSerieParalelo01.png,"1 en paralelo, 2 en serie",As dúas en serie,As dúas en paralelo,"1 en serie, 2 en paralelo",circuítos
Como están conectadas as resistencias na breadboard?,images/brboardSerieParalelo02.png,As dúas en serie,"5 en serie, 6 en paralelo","5 en paralelo, 6 en serie",As dúas en paralelo,circuítos
Por que resistencias pasará corrente?,images/brboardBenConectadas01.png,Por 1 e 2,Por todas,Por 2 e 3,Por ningunha,circuítos
Que montaxes se corresponden co esquema?,images/brboardResisCircuito.png,1,2,3,ningún,circuítos
Cal é falsa para o circuíto da figura?,images/2Int3leds.png,Podo acender -c- sen acender -a- e -b-,"Co interruptor 1 aberto, non acenderá nada",O interruptor 1 acende -a- e -b-,"Cos dous interruptores premidos, acenden todos os leds",circuítos
Cando acenderá o led verde?,images/brBoard2PulsXeralSecundario.png,Se teño premidos os dous pulsadores,Se premo o pulsador da dereita,Se premo o pulsador da esquerda,En ningún caso,circuítos
Cal é falsa para o circuíto da figura?,images/brBoard2PulsXeralSecundario.png,Podo acender o led verde sen que acenda o led vermello,Para acender o led verde teño que ter premido o pulsador da esquerda,Para acender o led verde teño que ter premido o pulsador da dereita,O led vermello acende cando premo o pulsador da dereita,circuítos
A que esquema se corresponde o circuíto da breadboard?,images/brBoard2PulsXeralSecEsquemas.png,Ao rosa,Ao azul,Ao verde,Ao laranxa,circuítos
"Cal será certa, para o circuíto da figura?",images/2IntResisLedCorto.png,O led acenderá se unicamente está pechado  -a-,O led non acenderá cando  -b- estea aberto,O led acenderá cando prema os dous interruptores,"O led acenderá ao premer -a-, estea como estea -b-",circuítos
Que leds acenderán?,images/6ledAcenden.png,"O 2,3,4 e 6",O 1 e o 5,Ningún,O 3 e o 4,circuítos
Que leds acenderán?,images/2CircLedAcenden.png,O 1 e o 3,"O 1, 3, 4 e 6",Ningún,Todos,circuítos
Que leds acenderán?,images/3LedsCortoAcenden.png,Ningún,O 3,O 2 e o 3,Todos,circuítos
Que leds acenderán?,images/4LedsCortoAcenden.png,O 4,Todos,"O 1, 3 e 4",Ningún,circuítos
Quero que o led acenda cando premo o pulsador. Hai algún fallo?,images/brbrUnLedPulsadorTricky.png,Os cables non están nos terminais correctos do pulsador,O led está posto do revés,A resistencia non está conectada ao led,"Non hai fallos, vai acender",circuítos
Quero que o led acenda só cando premo os dous pulsadores. Hai algún fallo?,images/brbr2pulsadoresSerieTricky.png,Ningún,O led acenderá cando prema calquera dos interruptores,O cable verde non conecta os terminais correctos dos interruptores,A resistencia non está conectada no terminal correcto do pulsador,circuítos
Que cable teño que quitar para que o led acenda desde calquera dos dous pulsadores?,images/2pulsParaleloQuitaCable.png,O laranxa,O verde,O azul,O amarelo,circuítos
Por que circuíto circulará máis corrente?,images/leiOhmSameVolt.png,Polo 1,Polo 2,Polo 3,Polo 4,circuítos
Por que circuíto circulará máis corrente?,images/leiOhmSameRes.png,Polo 2,Polo 1,Polo 3,Polo 4,circuítos
Por que circuíto circulará máis corrente?,images/leiOhmSameVoltDecimalOhm.png,Polo 3,Polo 2,Polo 1,Polo 4,circuítos
Por que circuíto circulará máis corrente?,images/leiOhmSameVoltKohm.png,Polo 2,Polo 1,Polo 3,Polo 4,circuítos
Por que circuíto circulará máis corrente?,images/leiOhmDifVoltDifRes.png,Polo 4,Polo 1,Polo 2,Polo 3,circuítos
Por que resistencia circulará máis intensidade?,images/3ResisSerie246.png,Por todas pasa a mesma,Pola -b-,Pola -c-,Pola -a-,circuítos
Partimos do circuíto negro. Que pasará cando conectemos a resistencia en verde?,images/2ResisParaleloTricky44.png,A intensidade total do circuíto aumentará,A voltaxe á que está sometida -a- disminuirá,A intensidade total do circuíto disminuirá,A intensidade total do circuíto non variará,circuítos
Partimos do circuíto negro. Que pasará cando conectemos a resistencia en verde?,images/2ResisParaleloTricky44.png,Por -b- pasará a mesma intensidade que por -a-,A voltaxe de -a- será a metade que antes,A resistencia equivalente no circuíto será de 4Ω,A intensidade total do circuíto non variará,circuítos
"Partimos do circuíto negro. Se conectamos a parte en verde, cal será falsa?",images/2ResisParaleloTricky44.png,A intensidade total disminuirá,Por -b- pasará unha itensidade igual á que pasa por -a-,A voltaxe de -b- será a mesma que a de -a-,A intensidade que pasa por -a- non variará,circuítos
Cal é falsa para o circuíto da figura?,images/brBr2IntParalelo.png,O led non acenderá nunca,O led acenderá cando prema o interruptor esquerdo,O led acenderá se premo o pulsador dereito,"Se teño premidos os dous interruptores, o led acenderá",circuítos
Cales leds acenderán cando prema o pulsador?,images/brBr3Led1intCalAcende.png,O verde e o vermello,O azul e o vermello,O vermello,O azul e o verde,circuítos
Cal é certa para o circuíto da figura?,images/brBr2int2LedParalelo.png,Cada o interruptor acende un led,Non poderei acender o led verde se non premo o interruptor da dereita,"Se premo o pulsador da dereita, acenden os dous leds","O verde está sempre aceso, aínda que non prema ningún pulsador",circuítos
Cando acenderá o led -b-?,images/3ledParal3IntAcenden.png,Sempre que estea pechado o interruptor 1,"Con 1 pechado, 2 aberto e 3 aberto","Con 1 pechado, 2 aberto e 3 pechado","Con 1 pechado, 2 pechado e 3 aberto",circuítos
Podo acender só o led -a-?,images/3ledParal4IntAcenden.png,Non,"Si,premendo 1 e 2","Si, premendo 1, 2 e 3","Si, premendo 1 e 3",circuítos
Cantos ohmnios son 13 KΩ?,,13000Ω,1300Ω,130Ω,13Ω,unidades
"Cantos ohmnios son 2,2 KΩ?",,2200Ω,22000Ω,"22,0000Ω",220Ω,unidades
Cantos ohmnios son 47 KΩ?,,47000Ω,4700Ω,470Ω,"4,7Ω",unidades
"Cantos ohmnios son 0,33KΩ?",,330Ω,3300Ω,33000Ω,33Ω,unidades
Cantos KΩ son 4700Ω?,,"4,7KΩ",47KΩ,470KΩ,"0,47KΩ",unidades
Cantos KΩ son 100000Ω?,,100KΩ,10KΩ,1000KΩ,1KΩ,unidades
Cantos KΩ son 680Ω?,,"0,68KΩ","6,8KΩ","0,068KΩ","0,0068KΩ",unidades
Cantos microfaradios terá un Faradio?,,1000000,10000000,1000,"0,000001",unidades
Cantos faradios é un microfaradio?,,"0,000001","0,0000001",1000000,"0,001",unidades
"Cantos  µF son 0,01 F?",,10000,1000,100000,1000000,unidades
Cantos F son 220 µF?,,"0,00022","0,0022","0,022","0,22",unidades
